nickname,user_id,email,password_confirmation,password,first_name,last_name,highschool_name,privacy,role
Coka,1,a1@sample.com,aaa,aaa,aaa,aaa,a1高校,2,0
こひやま,2,a2@sample.com,aaa,aaa,aaa,aaa,a2高校,1,0
N.Y.City,3,a3@sample.com,aaa,aaa,aaa,aaa,a3高校,1,0
とと,4,a4@sample.com,aaa,aaa,aaa,aaa,a4高校,1,0
しょう,5,a5@sample.com,aaa,aaa,aaa,aaa,a5高校,1,0
nori,6,a6@sample.com,aaa,aaa,aaa,aaa,a6高校,1,0
金成一,7,a7@sample.com,aaa,aaa,aaa,aaa,a7高校,1,0
546,8,a8@sample.com,aaa,aaa,aaa,aaa,a8高校,1,0
リアルキックホッパー,9,a9@sample.com,aaa,aaa,aaa,aaa,市川高校,1,0
三月,10,a10@sample.com,aaa,aaa,aaa,aaa,都立九段高校,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,高校名（サイト上には表示しません。）,,
,,,,,,,,記入した内容の公開範囲,
,,,,,,,,サイトでの公開はNGだが、対面でのインタビューで個別に見せることは可能（少人数への公開はOK）,
,,,,,,,,サイトでの公開OK,
,,,,,,,,サイトでの公開OK,
,,,,,,,,サイトでの公開OK,
,,,,,,,,サイトでの公開OK（不特定多数への公開あり）,
,,,,,,,,サイトでの公開OK（不特定多数への公開あり）,
,,,,,,,,サイトでの公開OK（不特定多数への公開あり）,
,,,,,,,市川高校,サイトでの公開OK（不特定多数への公開あり）,
,,,,,,,都立九段高校,サイトでの公開OK（不特定多数への公開あり）,
,,,,,,,,サイトでの公開はNGだが、対面でのインタビューで個別に見せることは可能（少人数への公開はOK）,
,,,,,,,,公開NG,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,高校名（サイト上には表示しません。）,,
,,,,,,,,,
,,,,,,,,記入した内容の公開範囲,
,,,,,,,,サイトでの公開はNGだが、対面でのインタビューで個別に見せることは可能（少人数への公開はOK）,
,,,,,,,,サイトでの公開OK,
,,,,,,,,サイトでの公開OK,
,,,,,,,,サイトでの公開OK,
,,,,,,,,サイトでの公開OK（不特定多数への公開あり）,
,,,,,,,,サイトでの公開OK（不特定多数への公開あり）,
,,,,,,,市川高校,サイトでの公開OK（不特定多数への公開あり）,
,,,,,,,都立九段高校,サイトでの公開OK（不特定多数への公開あり）,
,,,,,,,,サイトでの公開OK（不特定多数への公開あり）,
,,,,,,,,サイトでの公開はNGだが、対面でのインタビューで個別に見せることは可能（少人数への公開はOK）,
,,,,,,,,公開NG,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
